"id","created_at","updated_at","name","iata","icao","country","call_sign"
339,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Jet Star Asia Airways","3K","JSA","Singapore",""
340,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","SGA Airlines (Siam GA)","5E","SGN","Thailand",""
341,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Cebu Pacific","5J","CEB","Philippines",""
342,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","United Parcel Service (UPS)","5X","UPS","United States",""
343,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Air Mandalay","6T","LMT","Myanmar",""
344,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Jeju Air","7C","JJA","South Korea",""
345,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Business Air Center","8B","BCC","Thailand",""
346,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","K-Mile Air","8K","KMI","Thailand",""
347,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Myanmar Airlines","8M","UBA","Myanmar",""
348,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Thai Sky Airlines","9I","TKY","Thailand",""
349,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","P.B. Air","9Q","PBA","Thailand",""
350,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Phuket Air","9R","VAP","Thailand",""
351,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Jet Airways","9W","JAI","India",""
352,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Georgian Airways","A9","TGZ","Georgia",""
353,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","American Airlines","AA","AAL","United States",""
354,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Air Berlin","AB","BER","Germany",""
355,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Air Canada","AC","ACA","Canada",""
356,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Air France","AF","AFR","France",""
357,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Air India","AI","AIC","India",""
358,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Air Asia","AK","AXM","Malaysia",""
359,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Royal Air Maroc","AT","RAM","Marocco",""
360,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","FINNAIR","AY","FIN","Finland",""
361,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Alitalia","AZ","AZA","Italy",""
362,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","JetBlue Airways","B6","JBU","United States",""
363,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Air Bangladesh","B9","BGD","Bangladaesh",""
364,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","British Airways","BA","BAW","United Kingdom",""
365,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Flybe","BE","BEE","United Kingdom",""
366,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Biman Bangladesh Airlines","BG","BBC","Bangladesh",""
367,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Royal Brunei Airlines","BI","RBA","Brunei",""
368,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Pacific Airlines","BL","PIC","Vietnam",""
369,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","EVA Airways","BR","EVA","Taiwan",""
370,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Blue Panorama Airlines","BV","BPA","Italy",""
371,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Air China","CA","CCA","China",""
372,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","China Airlines","CI","CAL","Taiwan",""
373,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Continental Airlines","CO","COA","United States",""
374,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Cathay Pacific Airways","CX","CPA","Hong Kong",""
375,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","China Southern Airlines","CZ","CSN","China",""
376,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Golden Air","DC","GAO","Sweden",""
377,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Nok Air","DD","NOK","Thailand",""
378,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Virgin Blue","DJ","VOZ","Australia",""
379,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Delta Airlines","DL","DAL","United States",""
380,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Kampuchea Airlines","E2","KMP","Cambodia",""
381,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Europian Air Express","EA","EAL","Germany",""
382,"2023-05-21 22:50:16+00","2023-05-21 22:50:16+00","Emirates Airlines","EK","UAE","United Arab Emirates",""
